Training Epoch --- Training Accuracy --- Validation Accuracy --- Validation Loss
1	0.016	0.023	4.165
2	0.052	0.069	3.850
3	0.072	0.069	3.694
4	0.102	0.090	3.558
5	0.138	0.109	3.462
6	0.176	0.150	3.428
7	0.273	0.218	2.986
8	0.325	0.213	2.919
9	0.385	0.270	2.795
10	0.425	0.285	2.794
11	0.446	0.278	2.837
12	0.513	0.300	2.783
13	0.535	0.267	3.097
14	0.553	0.251	3.157
15	0.608	0.253	3.456
16	0.626	0.242	4.136
17	0.672	0.309	3.754
18	0.698	0.291	4.048
19	0.794	0.288	3.983
20	0.798	0.295	4.260
21	0.823	0.322	4.272
22	0.828	0.277	4.639
23	0.887	0.304	4.584
24	0.896	0.305	4.692
25	0.902	0.320	4.430
26	0.930	0.318	4.925
27	0.908	0.312	4.779
28	0.902	0.325	4.509
29	0.901	0.293	5.185
30	0.915	0.285	5.283
31	0.932	0.318	5.020
32	0.927	0.314	5.202
33	0.947	0.303	5.009
34	0.937	0.312	5.288
35	0.933	0.307	5.243
36	0.924	0.300	5.503
37	0.914	0.276	5.346
38	0.969	0.334	5.635
39	0.938	0.306	5.458
40	0.968	0.326	5.333
41	0.964	0.323	5.621
42	0.959	0.303	6.270
43	0.967	0.312	5.331
44	0.967	0.335	5.680
45	0.943	0.301	5.500
46	0.969	0.282	6.302
47	0.959	0.304	5.834
48	0.971	0.299	6.016
49	0.970	0.315	6.230
50	0.982	0.328	5.845
