Training Epoch --- Training Accuracy --- Validation Accuracy --- Validation Loss
1	0.018	0.018	4.166
2	0.034	0.025	4.146
3	0.071	0.058	3.814
4	0.128	0.080	3.554
5	0.181	0.135	3.298
6	0.227	0.155	3.188
7	0.293	0.216	3.015
8	0.354	0.253	2.869
9	0.403	0.280	2.814
10	0.455	0.270	2.863
11	0.521	0.301	3.042
12	0.522	0.292	3.283
13	0.593	0.310	3.370
14	0.658	0.300	3.496
15	0.631	0.265	3.837
16	0.719	0.310	4.009
17	0.788	0.345	4.032
18	0.808	0.343	4.155
19	0.815	0.322	4.200
20	0.771	0.291	4.704
21	0.836	0.317	4.607
22	0.846	0.333	4.589
23	0.868	0.284	4.837
24	0.887	0.303	4.574
25	0.871	0.292	5.122
26	0.890	0.280	5.287
27	0.918	0.294	5.031
28	0.865	0.312	5.337
29	0.901	0.347	4.681
30	0.906	0.317	4.907
31	0.935	0.340	5.142
32	0.908	0.333	4.826
33	0.947	0.360	5.187
34	0.914	0.311	5.120
35	0.907	0.300	5.246
36	0.973	0.324	5.523
37	0.956	0.306	5.439
38	0.957	0.325	5.969
39	0.953	0.316	6.032
40	0.941	0.322	5.911
41	0.961	0.313	5.488
42	0.963	0.357	5.472
43	0.963	0.314	5.851
44	0.968	0.315	5.700
45	0.966	0.319	5.535
46	0.978	0.321	5.945
47	0.956	0.348	5.484
48	0.973	0.316	5.844
49	0.973	0.305	6.040
50	0.966	0.360	5.917
